Institution,Metric,Value,Year,Numeric Value,Rank,Decile
Buckinghamshire New,Research Quality,1.91,2009,1.91,97.0,2.0
Manchester Metropolitan,Research Quality,2.93,2009,2.93,64.0,5.0
Kingston,Research Quality,2.67,2009,2.67,73.0,4.0
Chester,Research Quality,1.57,2009,1.57,104.0,1.0
Canterbury Christ Church,Research Quality,1.92,2009,1.92,95.0,2.0
Westminster,Research Quality,2.85,2009,2.85,67.0,5.0
Worcester,Research Quality,1.39,2009,1.39,109.0,1.0
Northampton,Research Quality,1.71,2009,1.71,101.0,1.0
Southampton Solent,Research Quality,0.93,2009,0.93,111.0,1.0
Glasgow Caledonian,Research Quality,2.48,2009,2.48,78.0,4.0
York St John,Research Quality,0.80,2009,0.8,112.0,1.0
Leeds Metropolitan,Research Quality,2.22,2009,2.22,87.0,3.0
Lincoln,Research Quality,1.71,2009,1.71,101.0,2.0
Liverpool John Moores,Research Quality,2.60,2009,2.6,75.0,4.0
Lampeter,Research Quality,4.74,2009,4.74,42.0,7.0
Teesside,Research Quality,1.90,2009,1.9,98.0,2.0
Derby,Research Quality,1.47,2009,1.47,107.0,1.0
Cumbria,Research Quality,1.40,2009,1.4,108.0,1.0
Huddersfield,Research Quality,2.44,2009,2.44,82.0,3.0
East London,Research Quality,2.49,2009,2.49,76.0,4.0
Wolverhampton,Research Quality,1.99,2009,1.99,93.0,2.0
Edge Hill,Research Quality,1.30,2009,1.3,110.0,1.0
Anglia Ruskin,Research Quality,1.50,2009,1.5,106.0,1.0
Thames Valley,Research Quality,0.48,2009,0.48,113.0,1.0
Greenwich,Research Quality,2.46,2009,2.46,80.0,3.0
Bolton,Research Quality,1.54,2009,1.54,105.0,1.0
London South Bank,Research Quality,2.88,2009,2.88,66.0,5.0
Oxford,Graduate Prospects,83.9,2009,83.9,4.0,10.0
Cambridge,Graduate Prospects,88.4,2009,88.4,2.0,10.0
London School of Economics,Graduate Prospects,87.7,2009,87.7,3.0,10.0
Imperial College,Graduate Prospects,89.3,2009,89.3,1.0,10.0
Warwick,Graduate Prospects,74.9,2009,74.9,23.0,8.0
Durham,Graduate Prospects,75.9,2009,75.9,19.0,9.0
St Andrews,Graduate Prospects,73.7,2009,73.7,28.0,8.0
University College London,Graduate Prospects,81.5,2009,81.5,5.0,10.0
SOAS University of London,Graduate Prospects,68.0,2009,68.0,45.0,7.0
Lancaster,Graduate Prospects,60.9,2009,60.9,76.0,4.0
York,Graduate Prospects,70.5,2009,70.5,40.0,7.0
Leicester,Graduate Prospects,72.3,2009,72.3,33.0,8.0
Loughborough,Graduate Prospects,73.2,2009,73.2,31.0,8.0
Bath,Graduate Prospects,81.0,2009,81.0,7.0,10.0
King's College London,Graduate Prospects,80.4,2009,80.4,8.0,10.0
Nottingham,Graduate Prospects,76.0,2009,76.0,18.0,9.0
Glasgow,Graduate Prospects,75.0,2009,75.0,22.0,9.0
Bristol,Graduate Prospects,81.5,2009,81.5,5.0,10.0
Exeter,Graduate Prospects,68.5,2009,68.5,44.0,7.0
Southampton,Graduate Prospects,71.8,2009,71.8,35.0,7.0
Edinburgh,Graduate Prospects,74.9,2009,74.9,23.0,9.0
"Royal Holloway, University of London",Graduate Prospects,66.9,2009,66.9,49.0,6.0
Aston,Graduate Prospects,76.4,2009,76.4,14.0,9.0
Birmingham,Graduate Prospects,70.4,2009,70.4,42.0,7.0
Essex,Graduate Prospects,62.8,2009,62.8,65.0,5.0
Sheffield,Graduate Prospects,73.7,2009,73.7,28.0,8.0
Newcastle,Graduate Prospects,75.3,2009,75.3,20.0,9.0
Manchester,Graduate Prospects,67.4,2009,67.4,47.0,6.0
Sussex,Graduate Prospects,62.0,2009,62.0,71.0,4.0
Surrey,Graduate Prospects,77.3,2009,77.3,12.0,10.0
Strathclyde,Graduate Prospects,76.4,2009,76.4,14.0,9.0
Leeds,Graduate Prospects,67.3,2009,67.3,48.0,6.0
East Anglia (UEA),Graduate Prospects,63.0,2009,63.0,63.0,5.0
"Queen's, Belfast",Graduate Prospects,76.1,2009,76.1,17.0,9.0
Kent,Graduate Prospects,70.5,2009,70.5,40.0,7.0
Stirling,Graduate Prospects,71.8,2009,71.8,35.0,7.0
Cardiff,Graduate Prospects,73.5,2009,73.5,30.0,8.0
Reading,Graduate Prospects,63.3,2009,63.3,61.0,5.0
Aberdeen,Graduate Prospects,76.2,2009,76.2,16.0,9.0
Keele,Graduate Prospects,77.6,2009,77.6,10.0,10.0
Brunel University London,Graduate Prospects,63.6,2009,63.6,58.0,5.0
Liverpool,Graduate Prospects,70.7,2009,70.7,39.0,7.0
"Queen Mary, University of London",Graduate Prospects,75.1,2009,75.1,21.0,9.0
