Institution,Metric,Value,Year,Numeric Value,Rank,Decile,UKPRN,Consistent Name,RG Rank
Liverpool John Moores,NSS Teaching (%),78.8552364529892,2010,78.8552364529892,92.0,2.0,10003957,Liverpool John Moores University,
Bucks New University,NSS Teaching (%),74.421558446767,2010,74.421558446767,108.0,1.0,10000975,Buckinghamshire New University,
Bolton,NSS Teaching (%),79.9995759346313,2010,79.9995759346313,86.0,3.0,10006841,The University of Bolton,
Southampton Solent,NSS Teaching (%),72.5213401233216,2010,72.5213401233216,110.0,1.0,10006022,Southampton Solent University,
East London,NSS Teaching (%),79.9272458296172,2010,79.9272458296172,88.0,3.0,10007144,University of East London,
London South Bank,NSS Teaching (%),75.95723304447691,2010,75.95723304447691,104.0,1.0,10004078,London South Bank University,
Oxford,Expenditure per student / 10,10.0,2010,10.0,1.0,10.0,10007774,University of Oxford,1.0
Cambridge,Expenditure per student / 10,9.457323262243287,2010,9.457323262243287,2.0,10.0,10007788,University of Cambridge,2.0
St Andrews,Expenditure per student / 10,6.54941889483066,2010,6.54941889483066,23.0,9.0,10007803,University of St Andrews,
Warwick,Expenditure per student / 10,8.76499145523479,2010,8.76499145523479,5.0,10.0,10007163,University of Warwick,5.0
London School of Economics,Expenditure per student / 10,7.624546866908339,2010,7.624546866908339,9.0,10.0,10004063,London School of Economics & Political Science,8.0
UCL,Expenditure per student / 10,8.343201907851219,2010,8.343201907851219,7.0,10.0,10007784,University College London,6.0
Edinburgh,Expenditure per student / 10,9.25728370970615,2010,9.25728370970615,3.0,10.0,10007790,University of Edinburgh,3.0
Imperial College,Expenditure per student / 10,8.82363320971408,2010,8.82363320971408,4.0,10.0,10003270,"Imperial College of Science, Technology and Medicine",4.0
Bath,Expenditure per student / 10,5.540665743853401,2010,5.540665743853401,42.0,7.0,10007850,University of Bath (The),
Loughborough,Expenditure per student / 10,5.71787053666349,2010,5.71787053666349,38.0,7.0,10004113,Loughborough University,
York,Expenditure per student / 10,7.48268812589413,2010,7.48268812589413,11.0,10.0,10007167,University of York,9.0
SOAS,Expenditure per student / 10,6.99239904988124,2010,6.99239904988124,15.0,9.0,10007780,School of Oriental and African Studies,
Exeter,Expenditure per student / 10,4.5482023246478,2010,4.5482023246478,72.0,4.0,10007792,University of Exeter,22.0
Durham,Expenditure per student / 10,4.5411744821499,2010,4.5411744821499,73.0,4.0,10007143,University of Durham,23.0
Leicester,Expenditure per student / 10,6.177079624616259,2010,6.177079624616259,30.0,8.0,10007796,University of Leicester,
Lancaster,Expenditure per student / 10,6.8780904325032814,2010,6.8780904325032814,17.0,9.0,10007768,University of Lancaster,
Glasgow,Expenditure per student / 10,5.64764844944237,2010,5.64764844944237,40.0,7.0,10007794,University of Glasgow,18.0
Sussex,Expenditure per student / 10,4.65440073775941,2010,4.65440073775941,68.0,5.0,10007806,University of Sussex,
Aston,Expenditure per student / 10,5.2741476256563615,2010,5.2741476256563615,47.0,7.0,10007759,Aston University,
