aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Rochester,United States,0,University of Rochester,545,=88,88,private,92.0,38,39.6,83,42.2,83,57.2,89,43.5,85,32.0,94,49 : 51,"9,390",26%,4.5,"Other Health,Medicine & Dentistry",/world-university-rankings/university-rochester
Sungkyunkwan University (SKKU),South Korea,6,Sungkyunkwan University (SKKU),805,=88,89,master_account,40.6,101,100.0,2,22.7,100,57.2,88,73.7,40,67.1,38,39 : 61,"24,365",9%,20.3,"Other Health,Medicine & Dentistry",/world-university-rankings/sungkyunkwan-university-skku
University of Dundee,United Kingdom,6,University of Dundee,640,90,90,master_account,92.4,35,46.2,56,65.4,47,57.1,90,27.8,100,40.1,84,60 : 40,"11,628",25%,15.3,"Medicine & Dentistry,Other Health",/world-university-rankings/university-dundee
University of Basel,Switzerland,0,University of Basel,575,91,91,master_account,90.6,42,92.4,12,86.2,8,56.8,91,32.4,99,26.9,99,54 : 46,"12,551",24%,17.3,"Medicine & Dentistry,Other Health",/world-university-rankings/university-basel
University of Iowa,United States,0,University of Iowa,606,92,92,public,81.1,78,55.0,38,28.0,96,56.4,92,41.1,88,48.0,64,52 : 48,"27,526",11%,11.6,"Medicine & Dentistry,Other Health",/world-university-rankings/university-iowa
National Taiwan University,Taiwan,0,National Taiwan University,618,93,93,master_account,50.3,99,41.5,75,25.2,98,56.2,93,64.2,48,65.2,42,39 : 61,"31,891",7%,11.9,"Medicine & Dentistry,Other Health",/world-university-rankings/national-taiwan-university
University of Birmingham,United Kingdom,11,University of Birmingham,612,=94,94,master_account,92.7,31,37.9,88,64.3,52,56.1,96,38.9,93,25.9,100,54 : 46,"25,295",23%,16.4,"Medicine & Dentistry,Other Health",/world-university-rankings/university-birmingham
UNSW Sydney unsw australia unsw,Australia,6,UNSW Sydney,638,=94,95,master_account,76.4,87,69.7,22,81.8,14,56.1,97,46.2,83,32.1,92,47 : 53,"38,309",32%,25.9,"Medicine & Dentistry,Other Health",/world-university-rankings/unsw-sydney
University of Nottingham,United Kingdom,0,University of Nottingham,604,=94,96,master_account,85.5,61,40.6,79,67.2,42,56.1,98,36.8,95,36.4,91,54 : 46,"30,144",27%,15.0,"Medicine & Dentistry,Other Health",/world-university-rankings/university-nottingham
Oregon Health and Science University,United States,0,Oregon Health and Science University,131454,=94,97,master_account,95.1,19,49.7,47,23.9,99,56.1,94,34.0,98,37.9,87,65 : 35,"2,838",3%,1.1,"Medicine & Dentistry,Other Health",/world-university-rankings/oregon-health-and-science-university
"St George’s, University of London",United Kingdom,0,"St George’s, University of London",872,=94,98,master_account,99.8,1,39.7,82,69.6,34,56.1,95,17.8,101,36.5,90,61 : 39,"2,958",17%,13.4,"Other Health,Medicine & Dentistry",/world-university-rankings/st-georges-university-london
University College Dublin,Ireland,11,University College Dublin,623,99,99,master_account,80.4,82,40.9,78,83.4,10,55.8,99,34.1,97,39.9,85,,"22,193",23%,24.5,"Medicine & Dentistry,Other Health",/world-university-rankings/university-college-dublin
Aarhus University,Denmark,0,Aarhus University,589,=100,100,master_account,82.8,74,35.4,98,65.8,46,55.7,100,39.2,92,36.7,89,54 : 46,"23,895",14%,13.6,"Medicine & Dentistry,Other Health",/world-university-rankings/aarhus-university
University of Bonn,Germany,0,University of Bonn,868,=100,101,master_account,86.8,55,35.4,100,64.6,51,55.7,101,39.3,91,31.9,95,55 : 45,"32,474",12%,70.4,"Other Health,Medicine & Dentistry",/world-university-rankings/university-bonn
