aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
University of Queensland UQ UOQ,,Australia,11,University of Queensland,538,39,39,master_account,81.9,33,99.6,11,78.2,24,62.7,39,50.0,56,47.7,63,"General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/university-queensland
Rice University,,United States,0,Rice University,536,40,40,private,100.0,1,45.1,64,69.8,37,62.5,40,46.2,66,45.6,67,"General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/rice-university
Kyoto University,,Japan,0,Kyoto University,516,41,41,master_account,54.7,84,65.4,42,40.7,84,61.9,41,65.3,30,69.9,25,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering,Civil Engineering",/world-university-rankings/kyoto-university
École Polytechnique,,France,6,École Polytechnique,527,42,42,master_account,74.1,51,-,85,70.9,36,61.5,42,47.9,60,61.5,35,"Chemical Engineering,Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering",/world-university-rankings/ecole-polytechnique
University of British Columbia ubc,,Canada,11,University of British Columbia,486,43,43,master_account,64.2,65,41.6,69,67.1,43,61.0,44,63.8,31,57.1,44,"Civil Engineering,Chemical Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-british-columbia
Peking University,,China,0,Peking University,514,43,43,master_account,74.5,50,100.0,4,37.2,89,61.0,43,52.7,53,56.4,46,"General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/peking-university
Purdue University West Lafayette,,United States,0,Purdue University West Lafayette,562,45,45,public,49.2,96,-,89,57.0,61,60.9,45,72.5,26,64.8,32,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/purdue-university-west-lafayette
University of Sydney UniSyd,,Australia,11,University of Sydney,522,46,46,master_account,75.9,47,83.2,28,93.2,4,60.4,47,44.8,71,49.7,61,"Mechanical & Aerospace Engineering,Chemical Engineering,Civil Engineering,Electrical & Electronic Engineering,General Engineering",/world-university-rankings/university-sydney
Pohang University of Science and Technology (POSTECH) postech,,South Korea,0,Pohang University of Science and Technology (POSTECH),517,46,46,master_account,84.8,23,99.9,7,30.7,97,60.4,46,47.3,63,51.9,54,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,General Engineering,Chemical Engineering",/world-university-rankings/pohang-university-science-and-technology-postech
Monash University,,Australia,11,Monash University,581,48,48,master_account,77.7,43,88.1,24,86.5,11,60.2,48,46.0,67,47.1,64,"Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering",/world-university-rankings/monash-university
